State Name,Dist Name,Crop,Historical_Avg_Yield_13_17,Trend_Slope,Expected_2018_Yield
Andhra Pradesh,East Godavari,SESAMUM,213.33,-25.611000000000004,136.49700000000303
Andhra Pradesh,East Godavari,SORGHUM,1017.406,-253.3890000000001,257.2390000000014
Andhra Pradesh,East Godavari,SOYABEAN,600.0,-300.0,0.0
Andhra Pradesh,East Godavari,SUGARCANE,8728.832,132.89900000000014,9127.52899999998
Andhra Pradesh,East Godavari,SUNFLOWER,980.244,-57.339000000000006,808.226999999999
Andhra Pradesh,East Godavari,WHEAT,0.0,0.0,0.0
Andhra Pradesh,Guntur,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Guntur,CASTOR,819.1519999999999,18.03899999999999,873.2690000000002
Andhra Pradesh,Guntur,CHICKPEA,1807.69,-128.859,1421.112999999983
Andhra Pradesh,Guntur,COTTON,765.866,6.648999999999992,785.8130000000001
Andhra Pradesh,Guntur,FINGER MILLET,1415.744,-92.41799999999999,1138.4900000000198
Andhra Pradesh,Guntur,GROUNDNUT,3389.3839999999996,8.010000000000002,3413.4140000000007
Andhra Pradesh,Guntur,KHARIF SORGHUM,1377.9500000000003,-168.08,873.710000000021
Andhra Pradesh,Guntur,LINSEED,0.0,0.0,0.0
Andhra Pradesh,Guntur,MAIZE,8875.66,481.7970000000002,10321.050999999978
Andhra Pradesh,Guntur,MINOR PULSES,904.4619999999999,-70.94199999999998,691.6359999999986
Andhra Pradesh,Guntur,OILSEEDS,1509.092,81.70400000000002,1754.203999999998
Andhra Pradesh,Guntur,PEARL MILLET,1715.52,80.01100000000001,1955.5530000000144
Andhra Pradesh,Guntur,PIGEONPEA,878.2060000000001,-98.28200000000002,583.359999999986
Andhra Pradesh,Guntur,RABI SORGHUM,5179.656000000001,-163.40299999999996,4689.447000000044
Andhra Pradesh,Guntur,RAPESEED AND MUSTARD,369.198,-10.339000000000002,338.18099999999686
Andhra Pradesh,Guntur,RICE,3729.154,174.117,4251.504999999946
Andhra Pradesh,Guntur,SAFFLOWER,200.0,-200.00000000000003,0.0
Andhra Pradesh,Guntur,SESAMUM,309.33599999999996,-55.30700000000002,143.41500000000815
Andhra Pradesh,Guntur,SORGHUM,5146.012,-155.6800000000001,4678.972000000009
Andhra Pradesh,Guntur,SOYABEAN,1889.9559999999997,-65.06299999999996,1694.7669999999925
Andhra Pradesh,Guntur,SUGARCANE,9200.869999999999,126.96300000000029,9581.758999999991
Andhra Pradesh,Guntur,SUNFLOWER,1061.47,-20.991000000000014,998.497000000003
Andhra Pradesh,Guntur,WHEAT,0.0,0.0,0.0
Andhra Pradesh,Kadapa YSR,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Kadapa YSR,CASTOR,671.508,54.163000000000004,833.997000000003
Andhra Pradesh,Kadapa YSR,CHICKPEA,846.176,-152.07500000000005,389.95100000000093
Andhra Pradesh,Kadapa YSR,COTTON,223.914,-40.357,102.84300000000803
Andhra Pradesh,Kadapa YSR,FINGER MILLET,1715.8719999999998,60.25699999999997,1896.643000000011
Andhra Pradesh,Kadapa YSR,GROUNDNUT,1288.622,70.125,1498.997000000003
Andhra Pradesh,Kadapa YSR,KHARIF SORGHUM,1382.8220000000001,-209.59100000000004,754.0489999999409
Andhra Pradesh,Kadapa YSR,LINSEED,481.416,-0.39600000000000424,480.22800000000007
Andhra Pradesh,Kadapa YSR,MAIZE,6212.23,824.1110000000001,8684.56299999985
Andhra Pradesh,Kadapa YSR,MINOR PULSES,698.51,39.806,817.9279999999999
Andhra Pradesh,Kadapa YSR,OILSEEDS,1163.6440000000002,116.13299999999998,1512.0430000000051
Andhra Pradesh,Kadapa YSR,PEARL MILLET,1870.4579999999999,-108.67099999999999,1544.445000000007
Andhra Pradesh,Kadapa YSR,PIGEONPEA,270.01800000000003,4.485999999999987,283.47600000000057
